model,variant,problem_id,category,difficulty,success,first_shot,iterations,compilation_failed,wall_time_s,java_chars,error_category,solver_nodes,solver_backtracks,solver_fails,solver_restarts,solver_solutions_found
qwen,cot,8queens,queens,medium,False,False,3,True,18.38,24,compilation_error,,,,,
qwen,cot,sudoku_9x9,sudoku,hard,False,False,3,True,17.25,24,compilation_error,,,,,
qwen,cot,magic_square_3x3,magic_square,easy,True,False,2,False,13.42,246,none,5.0,7.0,2.0,0.0,2.0
qwen,cot,magic_square_4x4,magic_square,medium,True,False,2,False,12.61,246,none,5.0,7.0,2.0,0.0,2.0
qwen,cot,graph_color_7,graph_coloring,medium,False,False,3,True,14.79,24,compilation_error,,,,,
qwen,cot,send_more_money,cryptarithmetic,hard,True,False,2,False,19.64,427,none,5.0,7.0,2.0,0.0,2.0
qwen,cot,job_scheduling,scheduling,hard,True,False,1,False,9.45,246,none,5.0,7.0,2.0,0.0,2.0
qwen,cot,latin_square_4x4,latin_square,easy,True,False,2,False,16.82,243,none,5.0,7.0,2.0,0.0,2.0
qwen,cot,knapsack_5,knapsack,hard,True,False,1,False,13.91,239,none,5.0,7.0,2.0,0.0,2.0
haiku,zero_shot,4queens,queens,easy,True,False,1,False,31.78,2145,none,5.0,7.0,2.0,0.0,2.0
haiku,zero_shot,8queens,queens,medium,True,False,1,False,64.67,2207,none,5.0,7.0,2.0,0.0,2.0
haiku,zero_shot,sudoku_9x9,sudoku,hard,True,False,1,False,71.22,3121,none,5.0,7.0,2.0,0.0,2.0
haiku,zero_shot,magic_square_3x3,magic_square,easy,True,False,1,False,25.35,2495,none,5.0,7.0,2.0,0.0,2.0
haiku,zero_shot,magic_square_4x4,magic_square,medium,True,False,1,False,25.29,2714,none,5.0,7.0,2.0,0.0,2.0
haiku,zero_shot,graph_color_7,graph_coloring,medium,True,False,1,False,27.45,2291,none,5.0,7.0,2.0,0.0,2.0
haiku,zero_shot,send_more_money,cryptarithmetic,hard,True,False,1,False,26.94,2797,none,5.0,7.0,2.0,0.0,2.0
haiku,zero_shot,job_scheduling,scheduling,hard,True,False,1,False,47.97,5641,none,5.0,7.0,2.0,0.0,2.0
haiku,zero_shot,latin_square_4x4,latin_square,easy,True,False,1,False,27.18,1680,none,5.0,7.0,2.0,0.0,2.0
haiku,zero_shot,knapsack_5,knapsack,hard,True,False,1,False,26.4,2491,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,4queens,queens,easy,True,True,0,False,21.77,1357,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,8queens,queens,medium,True,True,0,False,29.65,1583,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,sudoku_9x9,sudoku,hard,True,True,0,False,27.52,2763,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,magic_square_3x3,magic_square,easy,True,True,0,False,22.43,2333,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,magic_square_4x4,magic_square,medium,True,True,0,False,11.81,2008,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,graph_color_7,graph_coloring,medium,True,True,0,False,11.36,1979,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,send_more_money,cryptarithmetic,hard,True,True,0,False,28.25,2557,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,job_scheduling,scheduling,hard,True,False,2,False,43.76,4662,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,latin_square_4x4,latin_square,easy,True,True,0,False,52.11,1673,none,5.0,7.0,2.0,0.0,2.0
haiku,few_shot,knapsack_5,knapsack,hard,True,False,1,False,30.71,1942,none,5.0,7.0,2.0,0.0,2.0
haiku,cot,4queens,queens,easy,True,False,1,False,36.89,1710,none,5.0,7.0,2.0,0.0,2.0
haiku,cot,8queens,queens,medium,True,False,1,False,28.69,2690,none,5.0,7.0,2.0,0.0,2.0
haiku,cot,sudoku_9x9,sudoku,hard,True,False,1,False,28.42,2875,none,5.0,7.0,2.0,0.0,2.0
haiku,cot,magic_square_3x3,magic_square,easy,True,False,1,False,28.12,2428,none,5.0,7.0,2.0,0.0,2.0
haiku,cot,magic_square_4x4,magic_square,medium,True,False,1,False,28.37,2499,none,5.0,7.0,2.0,0.0,2.0
haiku,cot,graph_color_7,graph_coloring,medium,True,False,1,False,44.36,2823,none,5.0,7.0,2.0,0.0,2.0
haiku,cot,send_more_money,cryptarithmetic,hard,True,False,1,False,52.45,2794,none,5.0,7.0,2.0,0.0,2.0
haiku,cot,job_scheduling,scheduling,hard,True,False,1,False,46.69,4330,none,5.0,7.0,2.0,0.0,2.0
haiku,cot,latin_square_4x4,latin_square,easy,True,False,1,False,35.79,1966,none,5.0,7.0,2.0,0.0,2.0
haiku,cot,knapsack_5,knapsack,hard,True,False,1,False,43.23,2069,none,5.0,7.0,2.0,0.0,2.0
deepseek,zero_shot,4queens,queens,easy,True,False,1,False,84.47,1470,none,5.0,7.0,2.0,0.0,2.0
deepseek,zero_shot,8queens,queens,medium,True,False,1,False,64.79,1387,none,5.0,7.0,2.0,0.0,2.0
deepseek,zero_shot,sudoku_9x9,sudoku,hard,True,False,1,False,70.84,2741,none,5.0,7.0,2.0,0.0,2.0
deepseek,zero_shot,magic_square_3x3,magic_square,easy,True,False,1,False,59.09,1771,none,5.0,7.0,2.0,0.0,2.0
deepseek,zero_shot,magic_square_4x4,magic_square,medium,True,False,1,False,85.33,2086,none,5.0,7.0,2.0,0.0,2.0
deepseek,zero_shot,graph_color_7,graph_coloring,medium,True,False,1,False,72.3,2288,none,5.0,7.0,2.0,0.0,2.0
deepseek,zero_shot,send_more_money,cryptarithmetic,hard,True,False,1,False,159.76,17,none,5.0,7.0,2.0,0.0,2.0
deepseek,zero_shot,job_scheduling,scheduling,hard,True,True,0,False,161.36,17,none,5.0,7.0,2.0,0.0,2.0
deepseek,zero_shot,latin_square_4x4,latin_square,easy,True,False,1,False,76.65,2349,none,5.0,7.0,2.0,0.0,2.0
deepseek,zero_shot,knapsack_5,knapsack,hard,True,False,1,False,54.06,1224,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,4queens,queens,easy,True,True,0,False,58.2,1532,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,8queens,queens,medium,True,True,0,False,41.16,1177,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,sudoku_9x9,sudoku,hard,True,False,1,False,88.3,4128,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,magic_square_3x3,magic_square,easy,True,True,0,False,40.9,2255,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,magic_square_4x4,magic_square,medium,True,True,0,False,58.81,2340,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,graph_color_7,graph_coloring,medium,True,True,0,False,44.87,1957,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,send_more_money,cryptarithmetic,hard,True,False,1,False,194.67,3145,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,job_scheduling,scheduling,hard,True,True,0,False,382.99,17,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,latin_square_4x4,latin_square,easy,True,True,0,False,38.26,1609,none,5.0,7.0,2.0,0.0,2.0
deepseek,few_shot,knapsack_5,knapsack,hard,True,True,0,False,34.37,1919,none,5.0,7.0,2.0,0.0,2.0
deepseek,cot,4queens,queens,easy,True,False,1,False,75.45,1965,none,5.0,7.0,2.0,0.0,2.0
deepseek,cot,8queens,queens,medium,True,False,1,False,59.94,1771,none,5.0,7.0,2.0,0.0,2.0
deepseek,cot,sudoku_9x9,sudoku,hard,True,False,1,False,89.92,4190,none,5.0,7.0,2.0,0.0,2.0
deepseek,cot,magic_square_3x3,magic_square,easy,True,False,1,False,79.27,2587,none,5.0,7.0,2.0,0.0,2.0
deepseek,cot,magic_square_4x4,magic_square,medium,True,False,1,False,1508.01,1961,none,5.0,7.0,2.0,0.0,2.0
deepseek,cot,graph_color_7,graph_coloring,medium,True,False,1,False,99.19,2793,none,5.0,7.0,2.0,0.0,2.0
deepseek,cot,send_more_money,cryptarithmetic,hard,True,False,1,False,78.67,2301,none,5.0,7.0,2.0,0.0,2.0
deepseek,cot,job_scheduling,scheduling,hard,True,False,1,False,96.2,2391,none,5.0,7.0,2.0,0.0,2.0
deepseek,cot,latin_square_4x4,latin_square,easy,True,False,1,False,62.23,1791,none,5.0,7.0,2.0,0.0,2.0
deepseek,cot,knapsack_5,knapsack,hard,True,False,1,False,68.22,1998,none,5.0,7.0,2.0,0.0,2.0
